,date,open,close,high,low,volume,code
0,2008-01-28,9.464,8.542,10.336,8.201,147789.5,002208
1,2008-01-29,8.237,7.786,8.478,7.688,58816.38,002208
2,2008-01-30,7.89,7.658,7.984,7.42,38258.16,002208
3,2008-01-31,7.7,7.896,8.17,7.53,37883.72,002208
4,2008-02-01,7.749,7.109,7.838,7.106,32703.33,002208
5,2008-02-04,7.365,7.652,7.713,7.206,24201.53,002208
6,2008-02-05,8.094,8.417,8.417,7.81,48635.71,002208
7,2008-02-13,8.201,8.121,8.353,7.932,22162.93,002208
8,2008-02-14,8.234,8.137,8.42,8.054,17638.08,002208
9,2008-02-15,8.018,7.932,8.085,7.63,17267.69,002208
10,2008-02-18,8.027,8.057,8.286,7.948,18864.26,002208
11,2008-02-19,8.094,8.277,8.292,8.085,15544.48,002208
12,2008-02-20,8.292,8.024,8.39,7.981,18480.12,002208
13,2008-02-21,8.054,8.146,8.268,7.984,11307.94,002208
14,2008-02-22,8.088,8.341,8.381,8.054,20520.75,002208
15,2008-02-25,8.506,7.987,8.536,7.987,25004.06,002208
16,2008-02-26,8.146,7.703,8.231,7.371,20171.93,002208
17,2008-02-27,7.78,7.902,7.914,7.673,9740.23,002208
18,2008-02-28,7.902,7.734,7.932,7.646,8715.9,002208
19,2008-02-29,7.691,7.865,7.896,7.691,6820.28,002208
20,2008-03-03,7.899,8.115,8.146,7.81,11814.55,002208
21,2008-03-04,8.112,7.734,8.112,7.725,16357.64,002208
22,2008-03-05,7.728,7.627,7.826,7.475,10459.04,002208
23,2008-03-06,7.627,7.536,7.78,7.469,9163.76,002208
24,2008-03-07,7.505,7.588,7.679,7.472,7407.63,002208
25,2008-03-10,7.386,7.237,7.478,7.221,8514.24,002208
26,2008-03-11,7.252,7.389,7.438,7.185,5640.1,002208
27,2008-03-12,7.466,7.176,7.563,7.173,6007.81,002208
28,2008-03-13,7.17,6.904,7.173,6.865,8836.15,002208
29,2008-03-14,6.91,6.822,6.956,6.715,5764.16,002208
30,2008-03-17,6.828,6.468,6.855,6.468,8114.75,002208
31,2008-03-18,6.468,6.157,6.627,6.096,9295.25,002208
32,2008-03-19,6.279,6.386,6.55,6.218,7274.78,002208
33,2008-03-20,6.102,6.526,6.623,5.983,9968.65,002208
34,2008-03-21,6.492,6.605,6.645,6.379,7204.66,002208
35,2008-03-24,6.678,6.254,6.712,6.254,7362.9,002208
36,2008-03-25,6.157,6.447,6.553,6.132,6631.79,002208
37,2008-03-26,6.498,6.492,6.703,6.422,7128.73,002208
38,2008-03-27,6.431,6.285,6.529,6.138,5961.09,002208
39,2008-03-28,6.398,6.608,6.623,6.132,9223.08,002208
40,2008-03-31,6.416,6.651,6.81,6.392,9476.67,002208
41,2008-04-01,6.62,5.986,6.694,5.986,8756.53,002208
42,2008-04-02,6.117,5.629,6.187,5.583,6088.45,002208
43,2008-04-03,5.629,5.751,5.855,5.547,4661.11,002208
44,2008-04-07,5.754,6.099,6.132,5.678,7326.22,002208
45,2008-04-08,6.407,6.709,6.709,6.254,22617.78,002208
46,2008-04-09,6.7,6.285,6.712,6.267,12271.28,002208
47,2008-04-10,6.239,6.431,6.468,6.193,6348.01,002208
48,2008-04-11,6.437,6.59,6.712,6.41,8102.85,002208
49,2008-04-14,6.315,6.029,6.471,5.949,8277.27,002208
50,2008-04-15,5.974,6.132,6.193,5.797,5234.19,002208
51,2008-04-16,6.102,5.919,6.135,5.833,3814.18,002208
52,2008-04-17,6.193,6.135,6.511,6.135,15822.18,002208
53,2008-04-18,6.01,6.026,6.19,5.864,6606.86,002208
54,2008-04-21,6.407,6.056,6.498,5.919,11047.92,002208
55,2008-04-22,5.952,6.102,6.157,5.669,7410.47,002208
56,2008-04-23,5.983,6.492,6.526,5.919,12497.41,002208
57,2008-04-24,7.017,7.109,7.142,6.828,26613.66,002208
58,2008-04-25,7.011,7.078,7.353,6.919,23260.98,002208
59,2008-04-29,6.819,6.84,7.014,6.681,36670.62,002208
60,2008-04-30,6.861,7.127,7.139,6.834,20899.66,002208
61,2008-05-05,7.191,7.286,7.319,6.956,24346.51,002208
62,2008-05-06,7.2,7.109,7.286,7.026,17413.15,002208
63,2008-05-07,7.045,6.813,7.316,6.803,20079.34,002208
64,2008-05-08,6.697,6.968,6.987,6.691,12207.74,002208
65,2008-05-09,7.063,6.916,7.197,6.8,14870.57,002208
66,2008-05-12,6.865,7.002,7.048,6.715,10355.25,002208
67,2008-05-13,6.828,6.926,7.002,6.727,11849.19,002208
68,2008-05-14,6.968,7.429,7.493,6.865,27237.55,002208
