,date,open,close,high,low,volume,code
0,2001-05-24,5.033,4.326,5.033,4.308,411569.42,600321
1,2001-05-25,4.291,4.326,4.395,4.227,44944.41,600321
2,2001-05-28,4.31,4.227,4.31,4.174,36799.03,600321
3,2001-05-29,4.207,4.258,4.311,4.194,13680.69,600321
4,2001-05-30,4.258,4.244,4.269,4.202,13538.73,600321
5,2001-05-31,4.244,4.204,4.278,4.194,16275.95,600321
6,2001-06-01,4.204,4.328,4.331,4.204,13738.78,600321
7,2001-06-04,4.328,4.326,4.358,4.278,9451.04,600321
8,2001-06-05,4.326,4.34,4.372,4.294,9492.26,600321
9,2001-06-06,4.328,4.341,4.368,4.311,8662.92,600321
10,2001-06-07,4.341,4.278,4.345,4.269,7207.39,600321
11,2001-06-08,4.269,4.328,4.345,4.227,7038.83,600321
12,2001-06-11,4.328,4.368,4.407,4.283,10085.65,600321
13,2001-06-12,4.385,4.41,4.417,4.345,10750.36,600321
14,2001-06-13,4.415,4.42,4.459,4.387,17866.5,600321
15,2001-06-14,4.412,4.36,4.454,4.36,15854.3,600321
16,2001-06-15,4.36,4.409,4.412,4.328,8600.46,600321
17,2001-06-18,4.409,4.402,4.454,4.378,13703.5,600321
18,2001-06-19,4.404,4.368,4.429,4.362,4367.6,600321
19,2001-06-20,4.368,4.308,4.368,4.286,4969.98,600321
20,2001-06-21,4.303,4.372,4.372,4.303,2560.9,600321
21,2001-06-22,4.372,4.395,4.412,4.372,4903.62,600321
22,2001-06-26,4.43,4.496,4.529,4.429,19672.58,600321
23,2001-06-27,4.513,4.477,4.521,4.445,7311.8,600321
24,2001-06-28,4.471,4.447,4.508,4.437,5469.58,600321
25,2001-06-29,4.42,4.419,4.471,4.412,3481.35,600321
26,2001-07-02,4.42,4.442,4.496,4.42,4594.54,600321
27,2001-07-03,4.442,4.422,4.451,4.38,3231.8,600321
28,2001-07-04,4.429,4.39,4.434,4.387,3236.71,600321
29,2001-07-05,4.39,4.33,4.4,4.328,4993.39,600321
30,2001-07-06,4.325,4.298,4.362,4.294,3946.5,600321
31,2001-07-09,4.308,4.301,4.32,4.278,1677.2,600321
32,2001-07-10,4.305,4.335,4.345,4.305,1237.1,600321
33,2001-07-11,4.335,4.31,4.358,4.31,1760.5,600321
34,2001-07-12,4.308,4.293,4.328,4.278,1863.5,600321
35,2001-07-13,4.345,4.289,4.345,4.286,1683.27,600321
36,2001-07-16,4.303,4.261,4.336,4.236,6507.51,600321
37,2001-07-17,4.227,4.177,4.244,4.14,6176.0,600321
38,2001-07-18,4.177,4.202,4.236,4.177,2632.5,600321
39,2001-07-19,4.194,4.3,4.308,4.194,5276.85,600321
40,2001-07-20,4.3,4.377,4.387,4.278,14326.2,600321
41,2001-07-23,4.395,4.377,4.454,4.363,7320.7,600321
42,2001-07-24,4.362,4.392,4.425,4.328,10222.13,600321
43,2001-07-25,4.392,4.375,4.435,4.365,7548.21,600321
